"Dates","ARCELOR.MITTAL"
"2003-03-10",5.81575
"2003-03-11",5.88195
"2003-03-12",5.79365
"2003-03-13",6.01435
"2003-03-14",6.12475
"2003-03-17",6.1799
"2003-03-18",6.1799
"2003-03-19",6.0696
"2003-03-20",5.9592
"2003-03-21",6.1799
"2003-03-24",6.36755
"2003-03-25",6.36755
"2003-03-26",6.511
"2003-03-27",6.6765
"2003-03-28",6.7979
"2003-03-31",6.32335
"2003-04-01",6.6434
"2003-04-02",6.7758
"2003-04-03",7.06275
"2003-04-04",7.3828
"2003-04-07",7.30555
"2003-04-08",7.06275
"2003-04-09",6.8972
"2003-04-10",7.0628
"2003-04-11",7.0628
"2003-04-14",6.8862
"2003-04-15",6.87515
"2003-04-16",6.2351
"2003-04-17",6.58825
"2003-04-18",6.58825
"2003-04-21",6.58825
"2003-04-22",6.98555
"2003-04-23",6.9855
"2003-04-24",7.2835
"2003-04-25",7.55935
"2003-04-28",7.6697
"2003-04-29",7.449
"2003-04-30",7.3276
"2003-05-01",7.3276
"2003-05-02",7.46005
"2003-05-05",7.39385
"2003-05-06",7.5152
"2003-05-07",7.83525
"2003-05-08",8.08905
"2003-05-09",7.83525
"2003-05-12",7.80215
"2003-05-13",8.0891
"2003-05-14",8.0891
"2003-05-15",8.1553
"2003-05-16",8.1553
"2003-05-19",8.1663
"2003-05-20",7.83525
"2003-05-21",7.9125
"2003-05-22",8.4974
"2003-05-23",8.3208
"2003-05-26",8.7843
"2003-05-27",8.17735
"2003-05-28",8.7181
"2003-05-29",8.6077
"2003-05-30",8.2656
"2003-06-02",8.7622
"2003-06-03",8.77325
"2003-06-04",8.7843
"2003-06-05",8.2877
"2003-06-06",8.27665
"2003-06-09",7.65865
"2003-06-10",7.37175
"2003-06-11",7.3166
"2003-06-12",7.55935
"2003-06-13",7.31655
"2003-06-16",7.6145
"2003-06-17",7.2835
"2003-06-18",7.2835
"2003-06-19",7.49315
"2003-06-20",7.20625
"2003-06-23",7.20625
"2003-06-24",7.20625
"2003-06-25",7.33865
"2003-06-26",7.2835
"2003-06-27",7.5042
"2003-06-30",7.5042
"2003-07-01",7.5042
"2003-07-02",7.6697
"2003-07-03",7.6697
"2003-07-04",7.2835
"2003-07-07",7.91245
"2003-07-08",7.96765
"2003-07-09",8.0449
"2003-07-10",7.68075
"2003-07-11",7.68075
"2003-07-14",8.05595
"2003-07-15",8.1663
"2003-07-16",8.1884
"2003-07-17",8.05595
"2003-07-18",8.26565
"2003-07-21",8.1884
"2003-07-22",8.1553
"2003-07-23",8.12215
"2003-07-24",7.9125
"2003-07-25",7.9125
"2003-07-28",7.9125
"2003-07-29",7.9125
"2003-07-30",8.2546
"2003-07-31",8.33185
"2003-08-01",8.2215
"2003-08-04",8.27665
"2003-08-05",8.4422
"2003-08-06",8.05595
"2003-08-07",8.26565
"2003-08-08",8.27665
"2003-08-11",8.4201
"2003-08-12",8.4201
"2003-08-13",8.33185
"2003-08-14",8.2215
"2003-08-15",8.27665
"2003-08-18",8.2546
"2003-08-19",8.60775
"2003-08-20",8.6629
"2003-08-21",8.54155
"2003-08-22",8.6077
"2003-08-25",9.01605
"2003-08-26",9.0271
"2003-08-27",9.1485
"2003-08-28",8.94985
"2003-08-29",9.016
"2003-09-01",9.016
"2003-09-02",9.016
"2003-09-03",9.005
"2003-09-04",9.04915
"2003-09-05",9.20365
"2003-09-08",8.8836
"2003-09-09",9.0492
"2003-09-10",8.9719
"2003-09-11",9.19265
"2003-09-12",9.5789
"2003-09-15",10.04235
"2003-09-16",11.62045
"2003-09-17",11.7087
"2003-09-18",11.4549
"2003-09-19",11.15695
"2003-09-22",11.3666
"2003-09-23",11.35555
"2003-09-24",11.56525
"2003-09-25",10.81485
"2003-09-26",10.51685
"2003-09-29",10.38445
"2003-09-30",9.85475
"2003-10-01",9.85475
"2003-10-02",9.8658
"2003-10-03",10.09755
"2003-10-06",10.3293
"2003-10-07",10.0424
"2003-10-08",9.7444
"2003-10-09",9.7996
"2003-10-10",9.9982
"2003-10-13",10.2079
"2003-10-14",10.2631
"2003-10-15",10.63825
"2003-10-16",10.4617
"2003-10-17",10.6714
"2003-10-20",10.5058
